track_id,track_name,duration,primary_artists,language,track_url,track_image,download_url,spotify_track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
BuuUaa07,Naiyo Lagda,320,"Himesh Reshammiya, Kamaal Khan, Palak Muchhal",hindi,https://www.jiosaavn.com/song/naiyo-lagda/Mh0eZBVRBwQ,http://c.saavncdn.com/348/Kisi-Ka-Bhai-Kisi-Ki-Jaan-Hindi-2023-20230227115303-150x150.jpg,https://aac.saavncdn.com/348/04edacbb0838b0bf5851a33e7d6cfeb3_320.mp4,5PC5DSEMO5bpRAECZE2uPB,0.16,0.348,240930,0.719,0.852,8,0.182,-6.628,0,0.0389,164.077,4,0.235
5DKGrHAV,Billi Billi,174,Sukhbir,hindi,https://www.jiosaavn.com/song/billi-billi/RSwgdgZ4dmU,http://c.saavncdn.com/348/Kisi-Ka-Bhai-Kisi-Ki-Jaan-Hindi-2023-20230227115303-150x150.jpg,https://aac.saavncdn.com/895/266845e7a722f0e981d2dae4c5e4e186_320.mp4,2KnuaZYoGzDoHiBTNYOTXG,0.222,0.895,196731,0.389,0.0346,7,0.105,-11.036,0,0.11,110.023,4,0.549
X7HAp0HE,"Nazar Lag Jayegi (From ""Bholaa"")",236,"Ravi Basrur, Javed Ali, Irshad Kamil",hindi,https://www.jiosaavn.com/song/nazar-lag-jayegi-from-bholaa/KF8jcAQAf3Y,http://c.saavncdn.com/047/Nazar-Lag-Jayegi-From-Bholaa-Hindi-2023-20230216211157-150x150.jpg,https://aac.saavncdn.com/047/ec4ac1cb8a513629f2b5319ef4503b7d_320.mp4,7LSD7bVncAOlMafdUzgVcn,0.287,0.605,236205,0.841,4.46e-05,1,0.126,-6.463,1,0.0623,85.951,4,0.531
69a6d8MS,Tera Hua,280,"Himesh Reshammiya, Arijit Singh, Jyotica Tangri",hindi,https://www.jiosaavn.com/song/tera-hua/RlEKBxAIemA,https://c.saavncdn.com/426/Bad-Boy-Hindi-2023-20230225151348-150x150.jpg,https://aac.saavncdn.com/426/c3092a485983331480b0caed4e2bd917_320.mp4,3zqFsowz5iGbYIxZW5KlKw,0.351,0.426,214002,0.688,0.0,2,0.0998,-5.25,1,0.0443,118.586,5,0.239
_kYxmmGj,Munda Sona Hoon Main,229,"Pritam, Diljit Dosanjh, Nikhita Gandhi, Kumaar",hindi,https://www.jiosaavn.com/song/munda-sona-hoon-main/LwMySRldcFk,http://c.saavncdn.com/866/Shehzada-Hindi-2023-20230228121015-150x150.jpg,https://aac.saavncdn.com/866/dc910c43ea3d92700e99806efa4be34f_320.mp4,0NODNDsiY0sK5P0TnmDMSE,0.271,0.775,229948,0.83,0.0,9,0.191,-4.905,0,0.0571,130.024,4,0.913
-IcHD2Or,Chedkhaniyan,231,"Pritam, Arijit Singh, Nikhita Gandhi, IP Singh, Shloke Lal",hindi,https://www.jiosaavn.com/song/chedkhaniyan/XSEIeTACeEE,http://c.saavncdn.com/866/Shehzada-Hindi-2023-20230228121015-150x150.jpg,https://aac.saavncdn.com/866/05ae27505a5ce9ae8b6d8cce8a588a7c_320.mp4,6EKY8rpjaBxxB0WbXJhedU,0.38,0.716,231421,0.876,0.0,7,0.394,-3.777,1,0.0694,124.903,4,0.849
1yvmjPZO,Mere Sawaal Ka,255,"Pritam, Shashwat Singh, Shalmali, Shloke Lal",hindi,https://www.jiosaavn.com/song/mere-sawaal-ka/QREdXB5gbXw,http://c.saavncdn.com/866/Shehzada-Hindi-2023-20230228121015-150x150.jpg,https://aac.saavncdn.com/866/7f795f696097c46851a8111f5d676c25_320.mp4,6ZLgnkQNj1CJldLocXd5Ul,0.737,0.759,255173,0.698,7.15e-06,2,0.13,-8.571,1,0.0651,106.013,4,0.482
1VJDe6dT,Character Dheela 2.0,157,"Pritam, Amitabh Bhattacharya, Neeraj Shridhar",hindi,https://www.jiosaavn.com/song/character-dheela-2.0/QT4hdREGU2c,http://c.saavncdn.com/866/Shehzada-Hindi-2023-20230228121015-150x150.jpg,https://aac.saavncdn.com/866/98ab5b13d77e838bf1b78fbf6e270c6f_320.mp4,0QT9B8Yfrz0vi66oXMrKJg,0.00332,0.841,157153,0.863,9.64e-05,11,0.111,-4.73,1,0.0642,111.955,4,0.426
EktcZ_tq,Shehzada Title Track,227,"Pritam, Sonu Nigam, Mayur Puri",hindi,https://www.jiosaavn.com/song/shehzada-title-track/NQMfUi5vQ0I,http://c.saavncdn.com/866/Shehzada-Hindi-2023-20230228121015-150x150.jpg,https://aac.saavncdn.com/866/1c933fdc9a5ce6a5c793a860aaea52df_320.mp4,3En5vzjXpI2Q316FelTqd5,0.115,0.693,227399,0.869,0.0,5,0.201,-3.697,0,0.0817,95.966,4,0.696
pSddQfxN,Mere Sawaal Ka (King Version),188,"Pritam, King, Shloke Lal",hindi,https://www.jiosaavn.com/song/mere-sawaal-ka-king-version/ADsPVSVWT30,http://c.saavncdn.com/866/Shehzada-Hindi-2023-20230228121015-150x150.jpg,https://aac.saavncdn.com/866/8192748bdd1960aa8bc31242c34e3edf_320.mp4,4gMAPHoUI80xJHx55iHQjB,0.743,0.746,188058,0.692,4.91e-06,0,0.096,-9.148,1,0.0471,106.016,4,0.45
Yv-9NmYK,Besharam Rang,258,"Vishal &amp; Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar",hindi,https://www.jiosaavn.com/song/besharam-rang/KR5GCDpdbng,https://c.saavncdn.com/807/Pathaan-Hindi-2022-20221222104158-150x150.jpg,https://aac.saavncdn.com/807/f5a2929f50aa073c95017522ab406717_320.mp4,0CtZpaOhtzvLV3FfcsVpQo,0.0587,0.773,258474,0.795,0.00237,8,0.154,-5.537,0,0.0412,115.997,4,0.649
NCUGpKOW,Jhoome Jo Pathaan,208,"Vishal &amp; Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar",hindi,"https://www.jiosaavn.com/song/jhoome-jo-pathaan/Pis,dgR7eGQ",https://c.saavncdn.com/807/Pathaan-Hindi-2022-20221222104158-150x150.jpg,https://aac.saavncdn.com/807/ef11e75a9044f5148769abaa8cfb14c1_320.mp4,6FAYpZ4jve8vpvTwUvjK6H,0.0964,0.817,208164,0.738,0.0,7,0.331,-7.639,1,0.0748,104.964,4,0.616
EIdYxJXT,Pathaan's Theme,157,"Sanchit Balhara, Ankit Balhara, Magdalena Supel, Kit Bee",hindi,https://www.jiosaavn.com/song/pathaan%e2%80%99s-theme/NSEPaAx6b2c,https://c.saavncdn.com/807/Pathaan-Hindi-2022-20221222104158-150x150.jpg,https://aac.saavncdn.com/807/b81178f646021daced38c51189bb4ecb_320.mp4,7l00c4RIiRh9MngY4Mt6jG,3.29e-05,0.467,157142,0.925,0.0457,2,0.102,-5.412,1,0.049,153.004,4,0.216
EuQ2PQJi,Jim's Theme,71,"Sanchit Balhara, Ankit Balhara, Maanya Narang, Riya Duggal",hindi,https://www.jiosaavn.com/song/jim%e2%80%99s-theme/NR06AyRhfVo,https://c.saavncdn.com/807/Pathaan-Hindi-2022-20221222104158-150x150.jpg,https://aac.saavncdn.com/807/95e27ab27ac1b3d99756adfb889a91a2_320.mp4,6BfOhpHADzrvKN2kMPTMPv,0.000403,0.531,251467,0.597,0.00105,9,0.063,-9.004,1,0.0324,110.791,3,0.33
tuO3Iytk,When I Get There,200,P!nk,english,https://www.jiosaavn.com/song/when-i-get-there/BB0kAj1JQ1g,https://c.saavncdn.com/222/TRUSTFALL-English-2023-20230213235408-150x150.jpg,https://aac.saavncdn.com/222/cc9514704dd2df982b3bef51f6c0e695_320.mp4,24dotUzOINUEH3iTUlhDXX,0.78,0.562,200173,0.403,0.0,1,0.094,-5.441,1,0.0361,82.518,4,0.548
2knUHGu2,TRUSTFALL,241,P!nk,english,https://www.jiosaavn.com/song/trustfall/QgMFZDx3QgE,https://c.saavncdn.com/222/TRUSTFALL-English-2023-20230213235408-150x150.jpg,https://aac.saavncdn.com/222/0290446a12c24e481f61de2233b883db_320.mp4,4FWbsd91QSvgr1dSWwW51e,0.00162,0.636,237200,0.888,0.000216,8,0.147,-3.889,1,0.0945,122.032,4,0.25
Ep4e5Kbj,Turbulence,209,P!nk,english,https://www.jiosaavn.com/song/turbulence/NRhfVEF7VVk,https://c.saavncdn.com/222/TRUSTFALL-English-2023-20230213235408-150x150.jpg,https://aac.saavncdn.com/222/4aaf1eeefbf700a365ad41fa1bed7d31_320.mp4,1dJzTNm46rtvQR2A3GZU8F,0.227,0.53,206453,0.607,0.0,1,0.097,-6.334,1,0.051,123.891,4,0.178
